,name,mfcc_mean,mfcc_var,zero_crossings_mean,zero_crossings_var,chroma_mean,chroma_var,tempo,rolloff_mean,rolloff_var,centroids_mean,centroids_var,bandwidth_mean,bandwidth_var,contrast_mean,contrast_var,harm_mean,harm_var,perc_mean,perc_var,label
0,TXT Run Away Lyrics (투모로우바이투게더 9와 4분의 3 승강장에서 너를 기다려 가사) [Color Coded Lyrics_Han_Rom_Eng] [-jcU-YGHD-o].wav,3.3701193,1382.4791,0.0940483749055177,0.0852032780831489,0.40418085,0.09057169,129.19921875,5528.424903704286,3857639.106279903,2504.643991838756,858575.4603684513,2635.5636437093003,343613.6519324594,18.904464019883687,44.57354220405856,1.3528138e-05,0.03577171,0.00021880411,0.015264462,dance
0,"K_DA - THE BADDEST ft. (G)I-DLE, Bea Miller, Wolftyla (Official Lyric Video) _ League of Legends [RkID8_gnTxw].wav",2.0205255,1200.674,0.0908420256991685,0.0825897520660401,0.43046674,0.08604225,151.99908088235293,5303.709595860342,2571435.42910005,2410.528122690693,506780.13027371455,2560.162422077126,222825.96715699264,18.993277705124875,43.160908510515824,-2.0735604e-07,0.0135702975,-3.6951194e-05,0.0039660404,dance
0,"J.Y. Park FEVER (Feat. SUPERBEE(수퍼비), BIBI) Lyrics (박진영 FEVER 가사) [Color Coded Lyrics_Han_Rom_Eng] [-p4yoT9hiO0].wav",-1.822354,1694.7706,0.130668178382464,0.1135940055406726,0.4508422,0.08793171,95.703125,5666.190737319805,3408356.4764641896,2717.4918713097463,907295.6730300948,2535.760365875828,298975.0428943224,19.602936475800963,39.51554362198528,9.021977e-06,0.011468519,-2.5456844e-05,0.007901569,dance
0,ITZY 'Not Shy' Lyrics (있지 Not Shy 가사) (Color Coded Lyrics) [qOzGVI8bt0E].wav,-0.9889004,1305.198,0.1364882842025699,0.1178592324780084,0.42474142,0.092435665,135.99917763157896,6230.645657471459,2216717.7662630435,2959.5644989032203,677683.1326616568,2745.0614854622427,180248.93296526733,19.4903928158292,43.6224768832561,6.560272e-06,0.004015169,-2.4619332e-05,0.006267939,dance
0,[ENG LYRICS] 박문치 Park Moonchi - Cool한 42 (with. 박문치 유니버스) We're Cool [Cu0_YstK4v8].wav,5.77631,1565.4271,0.1100393046107331,0.0979306560515194,0.4364967,0.08941989,135.99917763157896,5839.773021024816,4135000.954709236,2664.5291977295296,995489.6072572948,2743.220251136637,235581.54158020893,18.490585076513657,42.425442809365165,-3.7708887e-06,0.050570052,8.587421e-05,0.019677095,dance
0,SOYOU (소유) - 'GOTTA GO' (가라고) Lyrics [Color Coded_Han_Rom_Eng] [O_4GIuPHcm0].wav,0.3451028,1987.9973,0.1184867724867724,0.1044476572324403,0.34686452,0.096499294,151.99908088235293,5411.358944919456,5215260.59752742,2583.8271389682404,1017025.2904854112,2538.8406845191025,410367.7513543904,20.91069360988071,45.1003878891904,-3.4796224e-06,0.02472194,6.952776e-05,0.010464315,dance
0,볼빨간사춘기 (BOL4) - 아틀란티스 소녀 (Atlantis Princess) _ 가사 [Ht4UGpV3DkE].wav,-0.8897978,2234.2844,0.0961436130007558,0.0869000186799167,0.2668867,0.09387434,107.666015625,4415.598299481182,5149475.797557641,2113.8416880986188,1199737.5414604913,2300.72525889035,671023.7186831137,20.64513174786227,34.46041389490791,2.1635205e-05,0.035058636,-2.1438918e-05,0.009119774,dance
0,(G)I-DLE 'DUMDi DUMDi' Lyrics (여자아이들 덤디덤디 가사) (Color Coded Lyrics) [JIKqqPQ-0Ow].wav,0.4625378,1428.493,0.1182751322751322,0.1042861253604322,0.37291563,0.09529146,161.4990234375,5248.009932668586,2117594.8166297204,2667.753282947983,763847.2824267922,2471.6835928479786,168286.29063130144,20.661229213035384,42.38775598475235,-1.7910275e-05,0.043237276,3.168938e-05,0.01932704,dance
0,KOYOTE (코요태) - Oh my summer (아하) [Color Coded Lyrics_Han_Rom_Eng_가사] [wSvipHeU4Sk].wav,-5.411954,1177.9662,0.165557067271353,0.1381479247478616,0.4085815,0.082417585,135.99917763157896,5897.981002382449,1527139.3541942236,2951.068141686312,576522.3574261446,2594.751608836737,110719.02745970096,18.960842093168008,39.97209096502799,-1.5069286e-05,0.010570616,-3.658188e-05,0.009930861,dance
0,유두래곤 두리쥬와 (Feat. S.B.N) 가사 (U-do-ragon Luv Us (Feat. S.B.N) Lyrics) [Color Coded Lyrics_Han_Rom_Eng] [8ClwFMkFRFU].wav,-1.8453218,2027.2703,0.256119425547997,0.1905222654049609,0.49812195,0.07464764,143.5546875,7681.828549033717,1427639.574118199,4073.3319090729287,1107990.224757316,3000.623678557461,119332.5872361438,18.23156841906068,48.67072940969353,-9.605286e-06,0.018834936,6.379421e-06,0.008212441,dance
