,title,link
0,헤이즈 (Heize) - 만추 (Feat. Crush) | 가사,https://youtube.com/watch?v=YlIjb2OsHno
0,Park Bom (박봄) - 'SPRING' (봄) ft. Sandara Park Lyrics [Color Coded_Han_Rom_Eng],https://youtube.com/watch?v=MTohzIAt5Wo
0,"BIG Naughty (서동현) - 휴 (休) (Feat. 기리보이) [휴 (休)]│가사, Lyrics",https://youtube.com/watch?v=41MyWhOH1Co
0,Crush 크러쉬 - Fall 어떻게 지내 lyrics 가사 HAN|ROM|ENG,https://youtube.com/watch?v=cLLzzMZvBZw
0,죠지 - Boat / 가사(Lyrics),https://youtube.com/watch?v=PHU06V7BhEc
0,BIGBANG - 'FLOWER ROAD (꽃길)' Lyrics [Han-Rom-Eng],https://youtube.com/watch?v=3GnCKBfbgN8
0,백예린 (Yerin Baek) - 'Datoom' (Official Lyric Video),https://youtube.com/watch?v=JNz5RmBNOfY
0,거미 「친구라도 될 걸 그랬어」 (가사 LYRICS),https://youtube.com/watch?v=WiP8SxZmDFE
0,백예린 (Yerin Baek) - 'Mr.gloomy' (Official Lyric Video),https://youtube.com/watch?v=Fdd5q6NzJnk
0,백예린 (Yerin Baek) - 'London' (Official Lyric Video),https://youtube.com/watch?v=gYRzYw7wxTQ
0,"G-DRAGON - Untitled, 2014 (무제)(無題)Lyrics [Color Coded_Han_Rom_Eng]",https://youtube.com/watch?v=pMZIj8Asam8
0,백예린 (Yerin Baek) - 'Point (Feat. Loopy)' (Official Lyric Video),https://youtube.com/watch?v=QDRS7jJ3qp8
0,"크러쉬 (Crush) - 티격태격 (Feat. DPR LIVE) [From Midnight To Sunrise]│가사, Lyrics",https://youtube.com/watch?v=14kciM8bzg0
0,DEAN - 넘어와 (come over) feat Baek Yerin Lyrics English Translation,https://youtube.com/watch?v=4OSCJJcMPmA
0,Crush Oasis (feat. Zico) Lyrics [ROM/ENG],https://youtube.com/watch?v=aKTkvKxVInI
0,백예린 (Yerin Baek) - 'Meant to be' (Official Lyric Video),https://youtube.com/watch?v=2Fti0AMh-yA
0,Jonghyun(종현) - Lonely (ft.Taeyeon(태연)) Color Coded Lyrics [Han|Rom|Eng],https://youtube.com/watch?v=jU_c1Ronbmc
0,"[HAN 가사]어반자카파(Urban Zakapa) - 그때의 나, 그때의 우리(When we were two)",https://youtube.com/watch?v=ermk-k7LT5c
0,정말 사랑했을까 - 브라운 아이드 소울 (Brown Eyed Soul) / 가사,https://youtube.com/watch?v=CXBhXJSIvQ4
0,잘자 (Feat. Zion.T) - 크러쉬(Crush) | 가사 (Lyrics),https://youtube.com/watch?v=N7I3ZtPQhoA
0,SOYOU (소유)  X OVAN (오반) _ RAIN DROP (비가 오잖아) Lyrics [Color Coded_Han_Rom_Eng],https://youtube.com/watch?v=OkLkOSr8kus
